game_title,image_url,genre,short_description,player_mode
Street Fighter 6,https://images.igdb.com/igdb/image/upload/t_cover_big/co5vst.jpg,Fighting,"Players engage in intense one-on-one martial arts combat, utilizing special moves and combos to defeat opponents in various game modes.",Both
Hunt: Showdown 1896,https://images.igdb.com/igdb/image/upload/t_cover_big/co8o7i.jpg,Survival,"Hunt: Showdown 1896 is a competitive first-person bounty hunting game set in the Louisiana swamps, emphasizing strategic combat and resource management.",Multiplayer
Wuthering Waves,https://images.igdb.com/igdb/image/upload/t_cover_big/co92hl.jpg,Action,"Explore a vast, open world, engaging in intense combat encounters and uncovering a gripping narrative filled with mystery and intrigue.",Multiplayer
Arma Reforger,https://images.igdb.com/igdb/image/upload/t_cover_big/co4rk4.jpg,Simulation,"Arma Reforger is a military simulation game set in a large open world, offering realistic combat and tactical gameplay.  Players engage in intense battles and complete various missions.",Both
Lethal Company,https://images.igdb.com/igdb/image/upload/t_cover_big/co5ive.jpg,Strategy,"Command a mercenary company, engaging in tactical combat, completing missions, and managing resources to survive and thrive in a war-torn world.",Singleplayer
Arena Breakout: Infinite,https://images.igdb.com/igdb/image/upload/t_cover_big/co84b9.jpg,FPS,A first-person shooter game where players engage in intense arena combat with a focus on strategic equipment management and infinite replayability.,Multiplayer
Zenless Zone Zero,https://images.igdb.com/igdb/image/upload/t_cover_big/co90je.jpg,Action,"Players explore a sprawling urban landscape, battling enemies and uncovering mysteries in a fast-paced action game with stylish combat.",Multiplayer
ARK: Survival Ascended,https://images.igdb.com/igdb/image/upload/t_cover_big/co7ace.jpg,Survival,"Players struggle to survive in a prehistoric world, taming dinosaurs, crafting items, and building bases to face various challenges and threats.",Both
Sid Meier's Civilization VII,https://images.igdb.com/igdb/image/upload/t_cover_big/co8po2.jpg,Strategy,"Players build and lead civilizations through history, engaging in diplomacy, warfare, and technological advancement to become the dominant world power.",Both
SMITE 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co7m9c.jpg,MMORPG,"SMITE 2 offers a massive online multiplayer experience, building upon the original with expanded mythology, enhanced character customization, and new game modes.",Multiplayer
Throne and Liberty,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j6b.jpg,MMORPG,"Explore a vast world, master diverse classes, and engage in thrilling large-scale battles against formidable creatures and players in a dynamic environment.",Multiplayer
Enshrouded,https://images.igdb.com/igdb/image/upload/t_cover_big/co6gct.jpg,Adventure,"Explore a mysterious, fog-laden world, solve environmental puzzles, and uncover a long-lost civilization's secrets.",Singleplayer
Poppy Playtime,https://images.igdb.com/igdb/image/upload/t_cover_big/co90hm.jpg,Horror,"Explore a creepy abandoned toy factory, solve puzzles, and evade terrifying creatures in this single-player horror adventure.",Singleplayer
It Takes Two,https://images.igdb.com/igdb/image/upload/t_cover_big/co2t97.jpg,Adventure,"Two players control a married couple magically transformed into dolls, cooperating to solve puzzles and overcome challenges to reverse the spell.",Multiplayer
DYNASTY WARRIORS: ORIGINS,https://images.igdb.com/igdb/image/upload/t_cover_big/co9129.jpg,Action,"Players experience visceral battlefield combat as legendary warriors, engaging in dynamic clashes with hordes of enemies across vast landscapes.",Singleplayer
NHL 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8pwh.jpg,Sports,"Play as your favorite NHL team and compete against other teams in a simulation of professional ice hockey.  Experience fast-paced action, strategic gameplay, and intense competition.",Both
Balatro,https://images.igdb.com/igdb/image/upload/t_cover_big/co752b.jpg,Action,"Players engage in intense, fast-paced combat using a variety of weapons and abilities to defeat enemies and complete objectives.",Singleplayer
MiSide,https://images.igdb.com/igdb/image/upload/t_cover_big/co7e6i.jpg,Unknown,Error: RetryError[<Future at 0x161224cb250 state=finished raised ResourceExhausted>],Unknown
Metaphor: ReFantazio,https://images.igdb.com/igdb/image/upload/t_cover_big/co8d9t.jpg,RPG,"Embark on a fantastical adventure, solving puzzles, engaging in strategic combat, and uncovering the secrets of a mysterious world.",Singleplayer
Indiana Jones and the Great Circle,https://images.igdb.com/igdb/image/upload/t_cover_big/co7nbc.jpg,Adventure,"Embark on a globe-trotting adventure as Indiana Jones, solving puzzles, overcoming perilous traps, and uncovering ancient secrets.",Singleplayer
Hell Let Loose,https://images.igdb.com/igdb/image/upload/t_cover_big/co6sqr.jpg,FPS,"A realistic World War II first-person shooter offering large-scale battles with infantry, vehicles, and strategic gameplay.",Multiplayer
Super Mario 64,https://images.igdb.com/igdb/image/upload/t_cover_big/co5wv6.jpg,Platformer,"Players navigate 3D levels as Mario, collecting stars by completing various challenges and overcoming obstacles.",Singleplayer
S.T.A.L.K.E.R. 2: Heart of Chornobyl,https://images.igdb.com/igdb/image/upload/t_cover_big/co5pxn.jpg,FPS,"Explore a vast, post-apocalyptic Chernobyl Exclusion Zone, battling mutants and anomalies while completing quests and uncovering the zone's secrets.",Singleplayer
STALCRAFT: X,https://images.igdb.com/igdb/image/upload/t_cover_big/co8h06.jpg,Survival,"Explore a post-apocalyptic world, scavenge for resources, craft weapons and gear, and fight to survive against other players and the harsh environment.",Multiplayer
Supermarket Together,https://images.igdb.com/igdb/image/upload/t_cover_big/co8mcl.jpg,Simulation,"Players cooperatively manage and expand a supermarket, balancing inventory, customer service, and staff management to maximize profits.",Multiplayer
Ragnarok Online 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1toh.jpg,MMORPG,"Players explore a vast world, battle monsters, complete quests, and customize characters in this massively multiplayer online role-playing game.",Multiplayer
The Outlast Trials,https://images.igdb.com/igdb/image/upload/t_cover_big/co29og.jpg,Horror,A terrifying psychological horror game where players endure gruesome experiments as test subjects in a Cold War-era facility. ,Multiplayer
Detroit: Become Human,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mzf.jpg,Adventure,"Players experience a branching narrative as androids in a futuristic Detroit, making choices that impact the story and characters' fates.",Singleplayer
EA Sports UFC 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co2bz5.jpg,Fighting,"EA Sports UFC 2 delivers realistic mixed martial arts combat, featuring a diverse roster of fighters and a deep career mode.",Both
Palia,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mc3.jpg,MMORPG,"A life simulation MMORPG where players build relationships, craft items, and explore a vibrant world with a cast of colorful characters.",Multiplayer
Green Hell,https://images.igdb.com/igdb/image/upload/t_cover_big/co9d3h.jpg,Survival,"Struggle to survive in the Amazon rainforest, facing harsh environmental challenges and threats from wildlife and disease.",Singleplayer
Microsoft Flight Simulator 2024,https://images.igdb.com/igdb/image/upload/t_cover_big/co91qm.jpg,Simulation,"Microsoft Flight Simulator 2024 provides realistic flight simulation, featuring detailed aircraft and global scenery for immersive single-player experiences.",Singleplayer
Teamfight Tactics,https://images.igdb.com/igdb/image/upload/t_cover_big/co8jux.jpg,Strategy,"Auto battler game where players assemble teams of champions to battle each other, strategically positioning units and deploying items.",Multiplayer
No Man's Sky,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j8v.jpg,Sandbox,"Explore and survive in a vast, procedurally generated galaxy, discovering planets, resources, and alien life.  Customize your spaceship and upgrade your equipment.",Multiplayer
Farming Simulator 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8fpu.jpg,Simulation,"Farming Simulator 25 offers realistic farming activities, including planting, harvesting, and livestock management, in a detailed open world.",Singleplayer
Tom Clancy's The Division 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xrm.jpg,Unknown,Error: RetryError[<Future at 0x161224cb460 state=finished raised ResourceExhausted>],Unknown
Super Smash Bros. Ultimate,https://images.igdb.com/igdb/image/upload/t_cover_big/co2255.jpg,Fighting,"Players engage in arena-style combat, choosing from a vast roster of iconic characters with unique movesets and special attacks.  Features both single-player and multiplayer modes.",Both
Dying Light,https://images.igdb.com/igdb/image/upload/t_cover_big/co65yq.jpg,Survival,"Players fight for survival in a zombie-infested city, using parkour to traverse the environment and crafting weapons to combat hordes of enemies.",Both
Sniper Elite: Resistance,https://images.igdb.com/igdb/image/upload/t_cover_big/co9brt.jpg,FPS,"Experience World War 2 as a sniper, using stealth and precision shots to eliminate targets.  Navigate diverse environments and utilize a variety of weaponry and gadgets.",Singleplayer
New World: Aeternum,https://images.igdb.com/igdb/image/upload/t_cover_big/co8xyh.jpg,MMORPG,"Explore a vast fantasy world, complete quests, craft items, and engage in large-scale PvP battles with other players.",Multiplayer
Hello Kitty Island Adventure,https://images.igdb.com/igdb/image/upload/t_cover_big/co6ohb.jpg,Adventure,"Explore and develop Hello Kitty's island paradise, building homes, crafting items, and completing quests with friends.",Singleplayer
The Headliners,https://images.igdb.com/igdb/image/upload/t_cover_big/co9c24.jpg,Sports,"Players manage a sports team, recruiting and training players, strategizing gameplay, and competing against other teams for victory.",Multiplayer
Mir Tankov,https://images.igdb.com/igdb/image/upload/t_cover_big/co6q0c.jpg,Strategy,Command and control tanks in large-scale armored warfare. Engage in strategic battles with diverse units and upgradeable vehicles.,Multiplayer
The Binding of Isaac: Repentance,https://images.igdb.com/igdb/image/upload/t_cover_big/co949f.jpg,Action,"A challenging, top-down action game where players explore randomly generated dungeons, battling monsters and collecting power-ups to survive.",Singleplayer
Exoborne,https://images.igdb.com/igdb/image/upload/t_cover_big/co9dm3.jpg,RPG,"Embark on a sprawling space adventure, exploring diverse alien planets, engaging in epic turn-based combat, and uncovering a galaxy's mysteries.",Singleplayer
Grand Theft Auto: San Andreas,https://images.igdb.com/igdb/image/upload/t_cover_big/co2lb9.jpg,Action,"Players explore a vast open world, engaging in criminal activities, vehicle theft, and gang warfare to progress through the storyline.",Singleplayer
Infinity Nikki,https://images.igdb.com/igdb/image/upload/t_cover_big/co8tdc.jpg,Simulation,"Dress up and style virtual fashion models with an extensive collection of clothing items and accessories, creating unique looks.",Singleplayer
Borderlands 3,https://images.igdb.com/igdb/image/upload/t_cover_big/co20r3.jpg,FPS,"Explore a vast alien world, engaging in intense first-person shooting, looting diverse weaponry, and completing challenging missions. ",Both
Knight Online,https://images.igdb.com/igdb/image/upload/t_cover_big/co5tgw.jpg,MMORPG,"A persistent online world where players assume the roles of knights, engaging in large-scale battles and quests.",Multiplayer
Supermarket Simulator,https://images.igdb.com/igdb/image/upload/t_cover_big/co8guq.jpg,Simulation,"Manage and operate a supermarket, balancing inventory, customer service, and staff management to maximize profits and efficiency.",Singleplayer
